brand,model,screen_size,color,harddisk,cpu,ram,OS,special_features,graphics,graphics_coprocessor,cpu_speed,rating,Price,Sale Product Count,Total Sales,Total Stock
ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,," $1,783.99 ",14,24975.86,95
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5, $449.00 ,60,26940,394
MSI,Vector GP66 12UGS-267,15.66 Inches,Core Black,,Intel Core i9,32 GB,Windows 11 Home,,Dedicated,,1.8 GHz,5, $999.99 ,24,23999.76,415
Apple,MacBook Air,13.3 Inches,Silver,256 GB,Unknown,8 GB,Mac OS,Backlit Keyboard,Integrated,,,4.8," $3,423.99 ",60,205439.4,405
Apple,MacBook Air,15.3 Inches,Midnight,256 GB,Unknown,8 GB,Mac OS,,Integrated,,,4.8, $699.00 ,33,23067,143
Acer,A315-24P-R7VH,15.6 Inches,Silver,128 GB,Ryzen 3,8 GB,Windows 11 S,Backlit Keyboard,Integrated,,,4.5," $1,599.00 ",37,59163,420
Apple,MacBook Pro,13.3 Inches,Space Gray,256 GB,Unknown,8 GB,Mac OS,Backlit Keyboard,Integrated,,,4.7," $1,314.99 ",59,77584.41,250
Acer,CB315-3HT,15.6 Inches,Silver,64 GB,Celeron N4020,4 GB,Chrome OS,Support Stylus,Integrated,,,4.4, $799.00 ,47,37553,183
ASUS,ROG Strix G16,16 Inches,Eclipse Gray,512 GB,Core i7,16 GB,Windows 11 Home,Backlit Keyboard,Dedicated,,,4.4, $899.99 ,26,23399.74,148
acer,A515-56-347N,15.6 Inches,Silver,128 GB,Core I3 1115G4,8 GB,Windows 11 S,Amazon Alexa,Integrated,,,4.3," $1,037.99 ",46,47747.54,291
acer,AN515-58-57Y8,15.6 Inches,Black,512 GB,Core i5,16 GB,Windows 11 Home,Backlit Keyboard,Dedicated,,,4.4, $750.74 ,47,35284.78,223
HP,Notebook,14 Inches,Grey,1 TB,Ryzen 3 3250U,16 GB,Windows 11,Anti Glare Coating,Integrated,,,4.4," $1,689.00 ",59,99651,519
ROKC,,15.6 Inches,Blue,1152 GB,Pentium,20 GB,Windows 11,,Integrated,Intel,1.1 GHz,5," $1,077.24 ",16,17235.84,472
HP,,15.6 Inches,Black,1000 GB,Pentium N5000,16 GB,Windows 11,,Integrated,Intel,1.1 GHz,4.4," $1,699.00 ",30,50970,427
ROKC,Ideapad 3,15.6 Inches,Gray,1000 GB,Intel Core i5,20 GB,Windows 11,,Integrated,Intel,,," $1,850.52 ",14,25907.28,275
acer,Nitro 17,17.3 Inches,Black,1 TB,AMD Ryzen 7,16 GB,Windows 11 Home,"Backlit Keyboard, Memory Card Slot",Dedicated,,,4.4," $1,531.28 ",39,59719.92,316
HP,hp laptop,15.6 Inches,,1 TB,Intel Core i3,16 GB,Windows 11 Home,Anti-glare,Integrated,Intel UHD Graphics,,4.2," $1,799.95 ",17,30599.15,179
Gateway,,11.6 Inches,Blue,64 GB,Celeron N4020,4 GB,Windows 10 S,,Integrated,Intel,1.1 GHz,4, $999.99 ,26,25999.74,247
ASUS,FX506HF-ES51,15.6 Inches,Graphite Black,512 GB,Core i5,8 GB,Windows 11 Home,Backlit Keyboard,Dedicated,,,4.5," $2,179.05 ",37,80624.85,243
MSI,Thin GF63 12VE-066US,15.6 Inches,,512 GB,Core i7,16 GB,Windows 11 Home,Anti Glare Coating,RTX 4050,,,4.5, $374.99 ,55,20624.45,487
Lenovo,IdeaPad 3 81X800ENUS,15.6 Inches,Almond,256 GB,Core i3,20 GB,Windows 11,Backlit Keyboard,Integrated,,,4.3, $639.99 ,23,14719.77,181
Lenovo,IdeaPad Gaming 3,15.6 Inches,Onyx Grey,256 GB,Ryzen 5,8 GB,Windows 11 Home,Anti Glare Coating,Dedicated,,,4.3, $84.54 ,49,4142.46,348
ASUS,ROG Strix G16,16 Inches,Eclipse Gray,1 TB,Intel Core i9,16 GB,Windows 11 Home,Anti Glare Coating,Dedicated,,,4.5, $589.99 ,50,29499.5,190
HP,Chromebook 14a-na0226nr,14 Inches,Mineral Silver,64,Celeron,4 GB,Chrome OS,Anti-Glare,Integrated,,,4.4," $2,255.92 ",37,83469.04,408
HP,TPN-I139_320M3AV,17.3 Inches,Silver,1 TB,Core i3 Family,32 GB,Windows 11 Home,HD Audio,Integrated,,,4.6," $1,102.99 ",58,63973.42,411
HP,i5 12th Gen 15-dy5399nr,15.6 Inches,Silver,512 GB,Core i5,16 GB,Windows 11 Home,Micro-edge Bezel,Integrated,,,4.3," $1,499.99 ",34,50999.66,367
ASUS,ROG Strix G16,16 Inches,Eclipse Gray,,Core i9,32 GB,Windows 11 Pro,,Dedicated,NVIDIA GeForce RTX 4070,5.6 GHz,4.3, $858.98 ,38,32641.24,355
MSI,Stealth GS66 12UGS-025,15.6 Inches,Core Black,,Intel Core i9,32 GB,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 3070,1.8 GHz,1, $389.99 ,24,9359.76,331
DELL,Inspiron,16 Inches,Silver,1000 GB,Intel Core i5,32 GB,Windows 11,,Integrated,Intel,,," $3,785.54 ",29,109780.66,174
ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,," $1,669.00 ",17,28373,357
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5, $999.99 ,22,21999.78,378
MSI,Vector GP66 12UGS-267,15.66 Inches,Core Black,,Intel Core i9,32 GB,Windows 11 Home,,Dedicated,,1.8 GHz,5," $1,698.49 ",15,25477.35,384
Lenovo,IdeaPad,14 Inches,Grey,1 TB,Core i3 Family,20 GB,Windows 11 Home,Dolby,Integrated,,,4.3, $639.99 ,64,40959.36,194
HP,HP Chromebook,14 Inches,Gray,64 GB,Celeron N,4 GB,Chrome OS,,Integrated,Intel UHD Graphics 600,,3.8," $2,539.99 ",16,40639.84,337
Lenovo,Ideapad 3i,15.6 Inches,Arctic Grey,512 GB,Core i5,8 GB,Windows 11 Pro,Anti Glare Coating,Integrated,,,4.5, $589.99 ,31,18289.69,158
Dell,Inspiron,15.6 Inches,Black,1 TB,Celeron N4020,16 GB,Windows 11 Home,Anti Glare Coating,Integrated,,,4.1," $2,738.99 ",29,79430.71,235
acer,CP314-1H-P1Q5,14 Inches,Silver,128 GB,Pentium,8 GB,Chrome OS,,Integrated,Intel UHD Graphics,,4.3, $999.99 ,42,41999.58,416
MSI,Katana 15 B13VGK-484US,15.6 Inches,,1 TB,Core i7,16 GB,Windows 11 Home,Anti Glare Coating,RTX 4070,NVIDIA GeForce RTX 4070,,4.3," $1,885.99 ",56,105615.44,313
Lenovo,IdeaPad 3,14 Inches,Gray,128 GB,Core i3 Family,8 GB,Windows 11 S,"Dolby,Narrow Bezel",Integrated,,,4.5," $1,406.04 ",57,80144.28,204
ASUS,ASUS Vivobook Go 15,15.6 Inches,Star Black,64 GB,Celeron,4 GB,Windows 11 S,Thin-bezel,Integrated,,,4.1, $589.99 ,54,31859.46,444
HP,HP Laptop 15-ef2024nr,15 Inches,Natural silver,256 GB,Ryzen 3,8 GB,Windows 11 Home,,Integrated,,,4.5, $999.99 ,13,12999.87,494
ROKC,,15.6 Inches,Blue,1152 GB,Pentium,20 GB,Windows 11,,Integrated,Intel,1.1 GHz,5," $3,299.00 ",34,112166,329
HP,,15.6 Inches,Black,1000 GB,Pentium N5000,16 GB,Windows 11,,Integrated,Intel,1.1 GHz,4.4," $1,450.77 ",32,46424.64,116
ROKC,Ideapad 3,15.6 Inches,Gray,1000 GB,Intel Core i5,20 GB,Windows 11,,Integrated,Intel,,, $57.99 ,35,2029.65,371
ASUS,UX5304VA-XS76T,13.3 Inches,Gray,1 TB,Core i7,32 GB,Windows 11 Pro,Dolby,Integrated,,,4.3, $765.75 ,58,44413.5,268
